epoch,mse_epoch_epoch,mse_epoch_step,mse_step,step
0,,1.2731887102127075,1.2731887102127075,49
0,,1.1222671270370483,1.1222671270370483,99
0,,1.140156626701355,1.140156626701355,149
0,,1.081850528717041,1.081850528717041,199
0,,1.0830962657928467,1.0830962657928467,249
0,,1.0764695405960083,1.0764695405960083,299
0,,0.994143009185791,0.994143009185791,349
0,,1.0276418924331665,1.0276418924331665,399
0,,1.0398826599121094,1.0398826599121094,449
0,,0.9915978312492371,0.9915978312492371,499
0,,1.0209708213806152,1.0209708213806152,549
0,,1.0162568092346191,1.0162568092346191,599
0,,0.9245593547821045,0.9245593547821045,649
0,,0.8929097652435303,0.8929097652435303,699
0,,0.9727000594139099,0.9727000594139099,749
0,,0.9941426515579224,0.9941426515579224,799
0,,0.9398453831672668,0.9398453831672668,849
0,1.065653920173645,,,881
1,,0.916212260723114,0.916212260723114,899
1,,0.9816545844078064,0.9816545844078064,949
1,,0.9879751205444336,0.9879751205444336,999
1,,0.981241762638092,0.981241762638092,1049
1,,0.9748639464378357,0.9748639464378357,1099
1,,0.9142009019851685,0.9142009019851685,1149
1,,1.039267659187317,1.039267659187317,1199
1,,0.9490092992782593,0.9490092992782593,1249
1,,0.940502941608429,0.940502941608429,1299
1,,0.9678381681442261,0.9678381681442261,1349
1,,0.8753799200057983,0.8753799200057983,1399
1,,0.9113016724586487,0.9113016724586487,1449
1,,0.9743782877922058,0.9743782877922058,1499
1,,0.94938063621521,0.94938063621521,1549
1,,0.9492306709289551,0.9492306709289551,1599
1,,0.8873960375785828,0.8873960375785828,1649
1,,0.9107224941253662,0.9107224941253662,1699
1,,0.9072741866111755,0.9072741866111755,1749
1,0.9315794110298157,,,1763
2,,0.9179579019546509,0.9179579019546509,1799
2,,0.9181414246559143,0.9181414246559143,1849
2,,0.8820996880531311,0.8820996880531311,1899
2,,0.9448666572570801,0.9448666572570801,1949
2,,0.9210531115531921,0.9210531115531921,1999
2,,0.953463613986969,0.953463613986969,2049
2,,0.9795539975166321,0.9795539975166321,2099
2,,0.883082926273346,0.883082926273346,2149
2,,0.9606689214706421,0.9606689214706421,2199
2,,0.859674870967865,0.859674870967865,2249
2,,0.8971473574638367,0.8971473574638367,2299
2,,0.9382076263427734,0.9382076263427734,2349
2,,0.9384954571723938,0.9384954571723938,2399
2,,0.9007395505905151,0.9007395505905151,2449
2,,0.9048475623130798,0.9048475623130798,2499
2,,0.8897054195404053,0.8897054195404053,2549
2,,0.8643234968185425,0.8643234968185425,2599
2,0.9069122672080994,,,2645
3,,0.9347277283668518,0.9347277283668518,2649
3,,0.9268824458122253,0.9268824458122253,2699
3,,0.9200217127799988,0.9200217127799988,2749
3,,0.900073230266571,0.900073230266571,2799
3,,0.8928810954093933,0.8928810954093933,2849
3,,0.9398300647735596,0.9398300647735596,2899
3,,0.8801353573799133,0.8801353573799133,2949
3,,0.8613360524177551,0.8613360524177551,2999
3,,0.9210121035575867,0.9210121035575867,3049
3,,0.9629725813865662,0.9629725813865662,3099
3,,0.8542149662971497,0.8542149662971497,3149
3,,0.8882378935813904,0.8882378935813904,3199
3,,0.9272440671920776,0.9272440671920776,3249
3,,0.901477038860321,0.901477038860321,3299
3,,0.8594472408294678,0.8594472408294678,3349
3,,0.8761372566223145,0.8761372566223145,3399
3,,0.8736070990562439,0.8736070990562439,3449
3,,0.9089027047157288,0.9089027047157288,3499
3,0.8925842046737671,,,3527
4,,0.8918411731719971,0.8918411731719971,3549
4,,0.8997910618782043,0.8997910618782043,3599
4,,0.8436774015426636,0.8436774015426636,3649
4,,6.2352495193481445,6.2352495193481445,3699
4,,2.8759167194366455,2.8759167194366455,3749
4,,2.3857617378234863,2.3857617378234863,3799
4,,2.106135845184326,2.106135845184326,3849
4,,1.9785935878753662,1.9785935878753662,3899
4,,1.7577968835830688,1.7577968835830688,3949
4,,1.7810213565826416,1.7810213565826416,3999
4,,1.7122752666473389,1.7122752666473389,4049
4,,1.6808712482452393,1.6808712482452393,4099
4,,1.6368211507797241,1.6368211507797241,4149
4,,1.644136667251587,1.644136667251587,4199
4,,1.594606637954712,1.594606637954712,4249
4,,1.609930157661438,1.609930157661438,4299
4,,1.6232869625091553,1.6232869625091553,4349
4,,1.579927682876587,1.579927682876587,4399
4,1.8105835914611816,,,4409
5,,1.587783932685852,1.587783932685852,4449
5,,1.612139105796814,1.612139105796814,4499
5,,1.5687177181243896,1.5687177181243896,4549
5,,1.5775983333587646,1.5775983333587646,4599
5,,1.536306381225586,1.536306381225586,4649
5,,1.5774495601654053,1.5774495601654053,4699
5,,1.5340694189071655,1.5340694189071655,4749
5,,1.5551819801330566,1.5551819801330566,4799
5,,1.6038457155227661,1.6038457155227661,4849
5,,1.6066997051239014,1.6066997051239014,4899
5,,1.5556154251098633,1.5556154251098633,4949
5,,1.6032010316848755,1.6032010316848755,4999
5,,1.586673617362976,1.586673617362976,5049
5,,1.5525380373001099,1.5525380373001099,5099
