epoch,kl_epoch_epoch,kl_epoch_step,kl_step,mse_epoch_epoch,mse_epoch_step,mse_step,step
0,,60.65614318847656,60.65614318847656,,10.988327980041504,10.988327980041504,49
0,,60.151397705078125,60.151397705078125,,11.342949867248535,11.342949867248535,99
0,,61.40191650390625,61.40191650390625,,11.06749153137207,11.06749153137207,149
0,,61.42089080810547,61.42089080810547,,10.921030044555664,10.921030044555664,199
0,,62.31707000732422,62.31707000732422,,10.190221786499023,10.190221786499023,249
0,,60.44981384277344,60.44981384277344,,10.570260047912598,10.570260047912598,299
0,,61.94676208496094,61.94676208496094,,11.047940254211426,11.047940254211426,349
0,,61.404579162597656,61.404579162597656,,11.694154739379883,11.694154739379883,399
0,,63.2493896484375,63.2493896484375,,10.945488929748535,10.945488929748535,449
0,,60.02239227294922,60.02239227294922,,11.373356819152832,11.373356819152832,499
0,,60.70771789550781,60.70771789550781,,10.482344627380371,10.482344627380371,549
0,,60.12176513671875,60.12176513671875,,10.257376670837402,10.257376670837402,599
0,,59.753623962402344,59.753623962402344,,10.229875564575195,10.229875564575195,649
0,,61.81396484375,61.81396484375,,11.424592971801758,11.424592971801758,699
0,,63.01019287109375,63.01019287109375,,10.55941104888916,10.55941104888916,749
0,,59.49633026123047,59.49633026123047,,10.726658821105957,10.726658821105957,799
0,,60.833946228027344,60.833946228027344,,12.010342597961426,12.010342597961426,849
0,60.96866226196289,,,10.938651084899902,,,881
1,,61.58906555175781,61.58906555175781,,11.402846336364746,11.402846336364746,899
1,,62.84648132324219,62.84648132324219,,10.443208694458008,10.443208694458008,949
1,,64.25309753417969,64.25309753417969,,10.738760948181152,10.738760948181152,999
1,,60.96051025390625,60.96051025390625,,11.44023323059082,11.44023323059082,1049
1,,59.40220642089844,59.40220642089844,,10.916613578796387,10.916613578796387,1099
1,,60.94676208496094,60.94676208496094,,11.199615478515625,11.199615478515625,1149
1,,60.33930206298828,60.33930206298828,,10.660788536071777,10.660788536071777,1199
1,,63.44933319091797,63.44933319091797,,11.044368743896484,11.044368743896484,1249
1,,63.079559326171875,63.079559326171875,,10.76639461517334,10.76639461517334,1299
1,,61.12602233886719,61.12602233886719,,11.134970664978027,11.134970664978027,1349
1,,62.20330810546875,62.20330810546875,,10.55894947052002,10.55894947052002,1399
1,,59.712745666503906,59.712745666503906,,11.513487815856934,11.513487815856934,1449
1,,62.19911193847656,62.19911193847656,,11.283549308776855,11.283549308776855,1499
1,,61.487518310546875,61.487518310546875,,10.35379409790039,10.35379409790039,1549
1,,60.51421356201172,60.51421356201172,,10.854504585266113,10.854504585266113,1599
1,,59.937339782714844,59.937339782714844,,10.890558242797852,10.890558242797852,1649
1,,63.089637756347656,63.089637756347656,,11.171674728393555,11.171674728393555,1699
1,,60.83399963378906,60.83399963378906,,11.210166931152344,11.210166931152344,1749
1,60.877708435058594,,,10.938910484313965,,,1763
2,,61.366432189941406,61.366432189941406,,11.053010940551758,11.053010940551758,1799
