epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,val_acc,val_loss
0,,9.057781226301948,9.057781226301948,49,,
0,,7.41933661127608,7.41933661127608,99,,
0,,7.873882656361205,7.873882656361205,149,,
0,,7.1890300379444385,7.1890300379444385,199,,
0,,6.546618728928623,6.546618728928623,249,,
0,,7.382064027312178,7.382064027312178,299,,
0,,6.685930412284236,6.685930412284236,349,,
0,,6.742546989099448,6.742546989099448,399,,
0,,6.598099184087413,6.598099184087413,449,,
0,,,,477,19.612401962280273,5.261658836708305
0,8.564172976829417,,,477,,
1,,6.538385500832981,6.538385500832981,499,,
1,,6.995896045993924,6.995896045993924,549,,
1,,7.041814704620338,7.041814704620338,599,,
1,,6.562453203147987,6.562453203147987,649,,
1,,6.754032361179848,6.754032361179848,699,,
1,,6.530344813524574,6.530344813524574,749,,
1,,6.53979265623605,6.53979265623605,799,,
1,,6.954505209693897,6.954505209693897,849,,
1,,7.083739084246436,7.083739084246436,899,,
1,,5.990085241016993,5.990085241016993,949,,
1,,,,955,19.672866821289062,5.235792924392866
1,6.770233842916909,,,955,,
2,,7.1200631197845325,7.1200631197845325,999,,
2,,6.7826212612764945,6.7826212612764945,1049,,
2,,6.744057683646572,6.744057683646572,1099,,
2,,6.427789828066752,6.427789828066752,1149,,
2,,6.6183184990058,6.6183184990058,1199,,
2,,6.742131770389256,6.742131770389256,1249,,
2,,7.313893815383684,7.313893815383684,1299,,
2,,5.926447880919133,5.926447880919133,1349,,
2,,7.29268292758989,7.29268292758989,1399,,
2,,,,1433,20.451162338256836,5.11380640347234
2,6.651925125180546,,,1433,,
3,,6.907057734402497,6.907057734402497,1449,,
