epoch,kl_epoch_epoch,kl_epoch_step,kl_step,mse_epoch_epoch,mse_epoch_step,mse_step,step
0,,187.08578491210938,187.08578491210938,,63.44245529174805,63.44245529174805,49
0,,180.19137573242188,180.19137573242188,,51.69526290893555,51.69526290893555,99
0,,155.15481567382812,155.15481567382812,,48.43233871459961,48.43233871459961,149
0,,123.98873901367188,123.98873901367188,,44.87092971801758,44.87092971801758,199
0,162.29574584960938,,,537.12353515625,,,220
1,,84.17928314208984,84.17928314208984,,45.89841079711914,45.89841079711914,249
1,,76.10047912597656,76.10047912597656,,48.23140335083008,48.23140335083008,299
1,,61.01518249511719,61.01518249511719,,40.9029655456543,40.9029655456543,349
1,,60.17176818847656,60.17176818847656,,39.361061096191406,39.361061096191406,399
1,69.20321655273438,,,44.2966194152832,,,441
2,,59.65515899658203,59.65515899658203,,37.15680694580078,37.15680694580078,449
