epoch,kl_epoch_epoch,kl_epoch_step,kl_step,mse_epoch_epoch,mse_epoch_step,mse_step,step
0,,61.00025177001953,61.00025177001953,,46.7779541015625,46.7779541015625,49
0,,59.57617950439453,59.57617950439453,,33.46615982055664,33.46615982055664,99
0,,60.856781005859375,60.856781005859375,,26.954153060913086,26.954153060913086,149
0,,59.8424072265625,59.8424072265625,,25.832508087158203,25.832508087158203,199
0,,64.04212188720703,64.04212188720703,,21.77618980407715,21.77618980407715,249
0,,62.53727722167969,62.53727722167969,,21.701087951660156,21.701087951660156,299
0,,62.51374053955078,62.51374053955078,,21.437978744506836,21.437978744506836,349
0,,64.70913696289062,64.70913696289062,,18.7967529296875,18.7967529296875,399
0,58.98795700073242,,,30.7379207611084,,,440
1,,64.36274719238281,64.36274719238281,,18.760944366455078,18.760944366455078,449
1,,63.494903564453125,63.494903564453125,,18.694122314453125,18.694122314453125,499
1,,62.857017517089844,62.857017517089844,,18.613697052001953,18.613697052001953,549
1,,63.11248779296875,63.11248779296875,,18.348400115966797,18.348400115966797,599
1,,62.45704650878906,62.45704650878906,,17.95233726501465,17.95233726501465,649
1,,62.23822784423828,62.23822784423828,,18.38346290588379,18.38346290588379,699
1,,62.28883361816406,62.28883361816406,,18.041364669799805,18.041364669799805,749
1,,66.01350402832031,66.01350402832031,,15.707359313964844,15.707359313964844,799
1,,65.26589965820312,65.26589965820312,,17.512706756591797,17.512706756591797,849
1,63.74690246582031,,,18.303382873535156,,,881
2,,62.160430908203125,62.160430908203125,,16.889068603515625,16.889068603515625,899
2,,64.02637481689453,64.02637481689453,,16.780881881713867,16.780881881713867,949
2,,61.81102752685547,61.81102752685547,,17.122976303100586,17.122976303100586,999
2,,60.976280212402344,60.976280212402344,,17.200674057006836,17.200674057006836,1049
2,,62.8472900390625,62.8472900390625,,16.745391845703125,16.745391845703125,1099
2,,63.647926330566406,63.647926330566406,,16.714399337768555,16.714399337768555,1149
2,,63.56428527832031,63.56428527832031,,16.479856491088867,16.479856491088867,1199
2,,62.87659454345703,62.87659454345703,,16.269838333129883,16.269838333129883,1249
2,,63.28852081298828,63.28852081298828,,17.447322845458984,17.447322845458984,1299
2,63.862335205078125,,,16.833812713623047,,,1322
3,,63.49528503417969,63.49528503417969,,16.873655319213867,16.873655319213867,1349
3,,65.06947326660156,65.06947326660156,,15.035270690917969,15.035270690917969,1399
3,,64.51066589355469,64.51066589355469,,15.868707656860352,15.868707656860352,1449
3,,64.53594970703125,64.53594970703125,,15.321510314941406,15.321510314941406,1499
3,,63.802711486816406,63.802711486816406,,15.3455228805542,15.3455228805542,1549
3,,62.728271484375,62.728271484375,,16.150705337524414,16.150705337524414,1599
3,,65.73233032226562,65.73233032226562,,15.273958206176758,15.273958206176758,1649
3,,60.371734619140625,60.371734619140625,,16.925397872924805,16.925397872924805,1699
