epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,val_acc,val_loss
0,,17.73481595474797,17.73481595474797,49,,
0,,11.58084317225901,11.58084317225901,99,,
0,,9.898462365619823,9.898462365619823,149,,
0,,9.618479655982297,9.618479655982297,199,,
0,,9.44206632628213,9.44206632628213,249,,
0,,8.83636978996606,8.83636978996606,299,,
0,,8.980466904128932,8.980466904128932,349,,
0,,8.950569463314732,8.950569463314732,399,,
0,,8.86822281193749,8.86822281193749,449,,
0,,,,477,15.060463905334473,7.256628075979198
0,13.142701637576613,,,477,,
1,,8.369686551717976,8.369686551717976,499,,
1,,9.24248482471297,9.24248482471297,549,,
1,,8.522536632025837,8.522536632025837,599,,
1,,8.329297705217583,8.329297705217583,649,,
1,,8.486756716102821,8.486756716102821,699,,
1,,8.191914869847992,8.191914869847992,749,,
1,,9.016313283936022,9.016313283936022,799,,
1,,8.021527792605358,8.021527792605358,849,,
1,,8.885516718189464,8.885516718189464,899,,
1,,9.393126048481495,9.393126048481495,949,,
1,,,,955,15.620155334472656,6.978912567663721
1,8.65761673932523,,,955,,
2,,8.602955745487645,8.602955745487645,999,,
2,,8.425490114944237,8.425490114944237,1049,,
2,,8.735913387060014,8.735913387060014,1099,,
2,,8.254877984543205,8.254877984543205,1149,,
2,,8.22861747940301,8.22861747940301,1199,,
2,,8.333177743562825,8.333177743562825,1249,,
2,,7.681640932160952,7.681640932160952,1299,,
2,,9.66145480529233,9.66145480529233,1349,,
2,,8.097553217359001,8.097553217359001,1399,,
2,,,,1433,15.796899795532227,6.845578218869069
2,8.457848972666493,,,1433,,
3,,8.398100020494496,8.398100020494496,1449,,
3,,8.463911463777752,8.463911463777752,1499,,
