epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,val_acc_0.5,val_loss
0,,0.0869215369640361,0.0869215369640361,49,,
0,,0.08130367806682424,0.08130367806682424,99,,
0,,0.08010529100494833,0.08010529100494833,149,,
0,,0.07269446022449855,0.07269446022449855,199,,
0,,0.06485727325678556,0.06485727325678556,249,,
0,,0.06643522083326645,0.06643522083326645,299,,
0,,0.060718813872177445,0.060718813872177445,349,,
0,,0.0630815378160187,0.0630815378160187,399,,
0,,0.05652683776099419,0.05652683776099419,449,,
0,,0.05642434432225525,0.05642434432225525,499,,
0,,0.05984634838727718,0.05984634838727718,549,,
0,,0.05302810321420459,0.05302810321420459,599,,
0,,0.05890930776630515,0.05890930776630515,649,,
0,,0.045227410175041484,0.045227410175041484,699,,
0,,0.048832768025829275,0.048832768025829275,749,,
0,,0.05418628963264596,0.05418628963264596,799,,
0,,0.05288548133034849,0.05288548133034849,849,,
0,,0.05255644725167891,0.05255644725167891,899,,
0,,0.05411795191140323,0.05411795191140323,949,,
0,,,,951,19.189172744750977,0.04508970707155544
0,0.06604044667068892,,,951,,
1,,0.050981320070298076,0.050981320070298076,999,,
1,,0.05392498740646189,0.05392498740646189,1049,,
1,,0.0507397795522415,0.0507397795522415,1099,,
1,,0.049879630213370815,0.049879630213370815,1149,,
1,,0.04913753591971746,0.04913753591971746,1199,,
1,,0.053074647916426014,0.053074647916426014,1249,,
1,,0.04828429103866137,0.04828429103866137,1299,,
1,,0.049610417098403796,0.049610417098403796,1349,,
1,,0.04675691200691248,0.04675691200691248,1399,,
1,,0.04784878665193648,0.04784878665193648,1449,,
1,,0.050141737953689466,0.050141737953689466,1499,,
1,,0.04808516518294571,0.04808516518294571,1549,,
1,,0.04766170259454364,0.04766170259454364,1599,,
1,,0.047336428848275144,0.047336428848275144,1649,,
1,,0.04923690146769814,0.04923690146769814,1699,,
1,,0.04755194876618787,0.04755194876618787,1749,,
1,,0.047596576929376376,0.047596576929376376,1799,,
1,,0.0503716017010928,0.0503716017010928,1849,,
1,,0.042926259220211795,0.042926259220211795,1899,,
1,,,,1903,21.897661209106445,0.041940792971859785
1,0.04967208490295002,,,1903,,
2,,0.04715007955382082,0.04715007955382082,1949,,
2,,0.04645420899336258,0.04645420899336258,1999,,
2,,0.0482673004472676,0.0482673004472676,2049,,
2,,0.048358261258731335,0.048358261258731335,2099,,
2,,0.0453488992198494,0.0453488992198494,2149,,
2,,0.04855901675436488,0.04855901675436488,2199,,
2,,0.04999616213732408,0.04999616213732408,2249,,
2,,0.04712814255537204,0.04712814255537204,2299,,
2,,0.047419148654002895,0.047419148654002895,2349,,
2,,0.04969103925916397,0.04969103925916397,2399,,
2,,0.04843426415870543,0.04843426415870543,2449,,
2,,0.051359986460211955,0.051359986460211955,2499,,
2,,0.044115629647766635,0.044115629647766635,2549,,
2,,0.04634012738968149,0.04634012738968149,2599,,
2,,0.045936737300524645,0.045936737300524645,2649,,
2,,0.04724053071821883,0.04724053071821883,2699,,
2,,0.04359114618875455,0.04359114618875455,2749,,
2,,0.04529738079349311,0.04529738079349311,2799,,
2,,0.047913037791348555,0.047913037791348555,2849,,
2,,,,2855,22.15866470336914,0.041460672208019966
2,0.047429319576661286,,,2855,,
3,,0.05093392712520487,0.05093392712520487,2899,,
3,,0.04487146470076723,0.04487146470076723,2949,,
3,,0.04364725562584962,0.04364725562584962,2999,,
3,,0.04463357096276234,0.04463357096276234,3049,,
3,,0.052047219591883936,0.052047219591883936,3099,,
3,,0.04791016685783564,0.04791016685783564,3149,,
3,,0.044342190446591906,0.044342190446591906,3199,,
3,,0.0426471809118417,0.0426471809118417,3249,,
3,,0.04660746481233139,0.04660746481233139,3299,,
3,,0.0494072383326847,0.0494072383326847,3349,,
3,,0.044192257641813615,0.044192257641813615,3399,,
3,,0.04586461339113901,0.04586461339113901,3449,,
3,,0.049169700074853155,0.049169700074853155,3499,,
3,,0.04939281539042034,0.04939281539042034,3549,,
3,,0.04900635009971934,0.04900635009971934,3599,,
3,,0.04667244088427726,0.04667244088427726,3649,,
3,,0.04827287179856838,0.04827287179856838,3699,,
3,,0.045069115877217576,0.045069115877217576,3749,,
3,,0.04834660067898216,0.04834660067898216,3799,,
3,,,,3807,22.746315002441406,0.040775911011814304
3,0.04632702962759182,,,3807,,
4,,0.046343503425263916,0.046343503425263916,3849,,
4,,0.04516520771477127,0.04516520771477127,3899,,
4,,0.043109478425458855,0.043109478425458855,3949,,
4,,0.04667640398013063,0.04667640398013063,3999,,
4,,0.04937313800980448,0.04937313800980448,4049,,
4,,0.04620309286092327,0.04620309286092327,4099,,
4,,0.04747660084843973,0.04747660084843973,4149,,
4,,0.04334595601041547,0.04334595601041547,4199,,
4,,0.04221504044245358,0.04221504044245358,4249,,
4,,0.04619270122600572,0.04619270122600572,4299,,
4,,0.046687996254807185,0.046687996254807185,4349,,
4,,0.042861441515089575,0.042861441515089575,4399,,
4,,0.04633915521077588,0.04633915521077588,4449,,
4,,0.04505233506824916,0.04505233506824916,4499,,
4,,0.04866699812311714,0.04866699812311714,4549,,
4,,0.04617034500125717,0.04617034500125717,4599,,
4,,0.04551469269682984,0.04551469269682984,4649,,
4,,0.0453688087889015,0.0453688087889015,4699,,
4,,0.043369893858652815,0.043369893858652815,4749,,
4,,,,4759,22.5853328704834,0.04086871065902752
4,0.04572613459461922,,,4759,,
