epoch,mse_epoch_epoch,mse_epoch_step,mse_loss,mse_step,step
0,,1.3209540843963623,,1.3209540843963623,49
0,,1.3650264739990234,,1.3650264739990234,99
0,,1.3046895265579224,,1.3046895265579224,149
0,,1.3300590515136719,,1.3300590515136719,199
0,,1.3525646924972534,,1.3525646924972534,249
0,,1.3304564952850342,,1.3304564952850342,299
0,,1.4221066236495972,,1.4221066236495972,349
0,,1.3783454895019531,,1.3783454895019531,399
0,1.3546648025512695,,,,440
1,,1.386266827583313,,1.386266827583313,449
1,,1.3338537216186523,,1.3338537216186523,499
1,,1.3320984840393066,,1.3320984840393066,549
1,,1.4041234254837036,,1.4041234254837036,599
1,,1.2850526571273804,,1.2850526571273804,649
1,,1.299278974533081,,1.299278974533081,699
1,,1.330051302909851,,1.330051302909851,749
1,,1.3383526802062988,,1.3383526802062988,799
1,,1.4037269353866577,,1.4037269353866577,849
1,1.3547134399414062,,,,881
2,,1.3839008808135986,,1.3839008808135986,899
2,,1.379866600036621,,1.379866600036621,949
2,,1.2805436849594116,,1.2805436849594116,999
2,,1.3635773658752441,,1.3635773658752441,1049
2,,1.388043999671936,,1.388043999671936,1099
2,,1.4243615865707397,,1.4243615865707397,1149
2,,1.2989332675933838,,1.2989332675933838,1199
2,,1.3782246112823486,,1.3782246112823486,1249
2,,1.3477346897125244,,1.3477346897125244,1299
2,1.3513357639312744,,,,1322
3,,1.3377161026000977,,1.3377161026000977,1349
3,,1.3651679754257202,,1.3651679754257202,1399
3,,1.324497938156128,,1.324497938156128,1449
3,,1.3334368467330933,,1.3334368467330933,1499
3,,1.346068024635315,,1.346068024635315,1549
3,,1.3092453479766846,,1.3092453479766846,1599
3,,1.283709168434143,,1.283709168434143,1649
3,,1.4082691669464111,,1.4082691669464111,1699
3,,1.336686611175537,,1.336686611175537,1749
3,1.35295832157135,,,,1763
4,,1.3389029502868652,,1.3389029502868652,1799
4,,1.48630952835083,,1.48630952835083,1849
4,,1.4129582643508911,,1.4129582643508911,1899
4,,1.3524926900863647,,1.3524926900863647,1949
4,,1.3640844821929932,,1.3640844821929932,1999
4,,1.3246170282363892,,1.3246170282363892,2049
4,,1.3427542448043823,,1.3427542448043823,2099
4,,1.3665350675582886,,1.3665350675582886,2149
4,,1.3744316101074219,,1.3744316101074219,2199
4,1.353915810585022,,,,2204
5,,1.3984956741333008,,1.3984956741333008,2249
5,,1.276684045791626,,1.276684045791626,2299
5,,1.3259965181350708,,1.3259965181350708,2349
5,,1.3851150274276733,,1.3851150274276733,2399
5,,1.3430863618850708,,1.3430863618850708,2449
5,,1.2836995124816895,,1.2836995124816895,2499
5,,1.356827735900879,,1.356827735900879,2549
5,,1.3821018934249878,,1.3821018934249878,2599
5,1.349719524383545,,,,2645
6,,1.3817293643951416,,1.3817293643951416,2649
6,,1.30072021484375,,1.30072021484375,2699
6,,1.2772034406661987,,1.2772034406661987,2749
6,,1.355869174003601,,1.355869174003601,2799
6,,1.3782093524932861,,1.3782093524932861,2849
6,,1.3136627674102783,,1.3136627674102783,2899
6,,1.3326473236083984,,1.3326473236083984,2949
6,,1.3737819194793701,,1.3737819194793701,2999
6,,1.3511662483215332,,1.3511662483215332,3049
6,1.350712537765503,,,,3086
7,,1.369538426399231,,1.369538426399231,3099
7,,1.352905511856079,,1.352905511856079,3149
7,,1.3692394495010376,,1.3692394495010376,3199
7,,1.2908015251159668,,1.2908015251159668,3249
7,,1.3134592771530151,,1.3134592771530151,3299
7,,1.3330448865890503,,1.3330448865890503,3349
7,,1.2982418537139893,,1.2982418537139893,3399
7,,1.4001383781433105,,1.4001383781433105,3449
7,,1.3173696994781494,,1.3173696994781494,3499
7,1.3518803119659424,,,,3527
8,,1.3970677852630615,,1.3970677852630615,3549
8,,1.415374755859375,,1.415374755859375,3599
8,,1.3121867179870605,,1.3121867179870605,3649
8,,1.3889997005462646,,1.3889997005462646,3699
8,,1.3338396549224854,,1.3338396549224854,3749
8,,1.2904680967330933,,1.2904680967330933,3799
8,,1.3771151304244995,,1.3771151304244995,3849
8,,1.3972338438034058,,1.3972338438034058,3899
8,,1.3703681230545044,,1.3703681230545044,3949
8,1.3535845279693604,,,,3968
9,,1.3295767307281494,,1.3295767307281494,3999
9,,1.398220419883728,,1.398220419883728,4049
9,,1.4043121337890625,,1.4043121337890625,4099
9,,1.392828345298767,,1.392828345298767,4149
9,,1.3797765970230103,,1.3797765970230103,4199
9,,1.3227224349975586,,1.3227224349975586,4249
9,,1.3476396799087524,,1.3476396799087524,4299
9,,1.3852266073226929,,1.3852266073226929,4349
9,,1.3640707731246948,,1.3640707731246948,4399
9,1.3501139879226685,,,,4409
10,,,1.3561023473739624,,4410
