epoch,mse_epoch_epoch,mse_epoch_step,mse_loss,mse_step,step
0,,2.3708548545837402,,2.3708548545837402,49
0,,2.0721871852874756,,2.0721871852874756,99
0,,1.9016002416610718,,1.9016002416610718,149
0,,1.7678122520446777,,1.7678122520446777,199
0,,1.7453984022140503,,1.7453984022140503,249
0,,1.6007269620895386,,1.6007269620895386,299
0,,1.6660335063934326,,1.6660335063934326,349
0,,1.5458440780639648,,1.5458440780639648,399
0,1.8926945924758911,,,,440
1,,1.5086853504180908,,1.5086853504180908,449
1,,1.5265072584152222,,1.5265072584152222,499
1,,1.4409711360931396,,1.4409711360931396,549
1,,1.484792709350586,,1.484792709350586,599
1,,1.578088641166687,,1.578088641166687,649
1,,1.4871388673782349,,1.4871388673782349,699
1,,1.4703885316848755,,1.4703885316848755,749
1,,1.520933747291565,,1.520933747291565,799
1,,1.4953725337982178,,1.4953725337982178,849
1,1.5058748722076416,,,,881
2,,1.4382822513580322,,1.4382822513580322,899
2,,1.4318811893463135,,1.4318811893463135,949
2,,1.5565829277038574,,1.5565829277038574,999
2,,1.4601421356201172,,1.4601421356201172,1049
2,,1.4867507219314575,,1.4867507219314575,1099
2,,1.4641474485397339,,1.4641474485397339,1149
2,,1.472618818283081,,1.472618818283081,1199
2,,1.4174847602844238,,1.4174847602844238,1249
2,,1.4367581605911255,,1.4367581605911255,1299
2,1.463822841644287,,,,1322
3,,1.5011380910873413,,1.5011380910873413,1349
3,,1.423822045326233,,1.423822045326233,1399
3,,1.4054791927337646,,1.4054791927337646,1449
3,,1.4160776138305664,,1.4160776138305664,1499
3,,1.3817670345306396,,1.3817670345306396,1549
3,,1.4730294942855835,,1.4730294942855835,1599
3,,1.4074956178665161,,1.4074956178665161,1649
3,,1.5445196628570557,,1.5445196628570557,1699
3,,1.36794912815094,,1.36794912815094,1749
3,1.441275954246521,,,,1763
4,,1.391858696937561,,1.391858696937561,1799
4,,1.4871689081192017,,1.4871689081192017,1849
4,,1.4728878736495972,,1.4728878736495972,1899
4,,1.3983596563339233,,1.3983596563339233,1949
4,,1.3817031383514404,,1.3817031383514404,1999
4,,1.4015804529190063,,1.4015804529190063,2049
4,,1.4672294855117798,,1.4672294855117798,2099
4,,1.3970423936843872,,1.3970423936843872,2149
4,,1.4290305376052856,,1.4290305376052856,2199
4,1.4251503944396973,,,,2204
5,,1.4171546697616577,,1.4171546697616577,2249
5,,1.439422369003296,,1.439422369003296,2299
5,,1.4349819421768188,,1.4349819421768188,2349
5,,1.4458074569702148,,1.4458074569702148,2399
5,,1.4386004209518433,,1.4386004209518433,2449
5,,1.3977046012878418,,1.3977046012878418,2499
5,,1.3770159482955933,,1.3770159482955933,2549
5,,1.411918044090271,,1.411918044090271,2599
5,1.4103853702545166,,,,2645
6,,1.4519566297531128,,1.4519566297531128,2649
6,,1.4836879968643188,,1.4836879968643188,2699
6,,1.3841477632522583,,1.3841477632522583,2749
6,,1.3345227241516113,,1.3345227241516113,2799
6,,1.4691162109375,,1.4691162109375,2849
6,,1.3695831298828125,,1.3695831298828125,2899
6,,1.378284215927124,,1.378284215927124,2949
6,,1.421868085861206,,1.421868085861206,2999
6,,1.3470470905303955,,1.3470470905303955,3049
6,1.4058172702789307,,,,3086
7,,1.3924342393875122,,1.3924342393875122,3099
7,,1.4002912044525146,,1.4002912044525146,3149
7,,1.4344840049743652,,1.4344840049743652,3199
7,,1.4154497385025024,,1.4154497385025024,3249
7,,1.4110554456710815,,1.4110554456710815,3299
7,,1.405835747718811,,1.405835747718811,3349
7,,1.4552505016326904,,1.4552505016326904,3399
7,,1.3603954315185547,,1.3603954315185547,3449
7,,1.3762954473495483,,1.3762954473495483,3499
7,1.3964768648147583,,,,3527
8,,1.4165819883346558,,1.4165819883346558,3549
8,,1.420124888420105,,1.420124888420105,3599
8,,1.3735398054122925,,1.3735398054122925,3649
8,,1.404998779296875,,1.404998779296875,3699
8,,1.3055423498153687,,1.3055423498153687,3749
