epoch,kl_epoch_epoch,kl_epoch_step,kl_error,kl_step,mse_epoch_epoch,mse_epoch_step,mse_error,mse_step,step
0,,74.89100646972656,,74.89100646972656,,52.87366485595703,,52.87366485595703,49
0,,54.074615478515625,,54.074615478515625,,43.91251754760742,,43.91251754760742,99
0,,56.042877197265625,,56.042877197265625,,36.609352111816406,,36.609352111816406,149
0,,57.682350158691406,,57.682350158691406,,35.32634735107422,,35.32634735107422,199
0,68.14422607421875,,,,59.66169357299805,,,,220
1,,60.12628936767578,,60.12628936767578,,32.94832992553711,,32.94832992553711,249
1,,61.74089050292969,,61.74089050292969,,31.057294845581055,,31.057294845581055,299
1,,62.29902648925781,,62.29902648925781,,31.267377853393555,,31.267377853393555,349
1,,64.88360595703125,,64.88360595703125,,28.352285385131836,,28.352285385131836,399
1,62.614830017089844,,,,30.12641143798828,,,,441
2,,64.33475494384766,,64.33475494384766,,26.617630004882812,,26.617630004882812,449
2,,66.27973937988281,,66.27973937988281,,26.50095558166504,,26.50095558166504,499
2,,66.24461364746094,,66.24461364746094,,25.5467472076416,,25.5467472076416,549
2,,66.05066680908203,,66.05066680908203,,25.06629180908203,,25.06629180908203,599
2,,64.58049774169922,,64.58049774169922,,25.64166259765625,,25.64166259765625,649
2,65.67963409423828,,,,25.872150421142578,,,,662
3,,63.55305480957031,,63.55305480957031,,24.974397659301758,,24.974397659301758,699
3,,66.013916015625,,66.013916015625,,24.5323543548584,,24.5323543548584,749
3,,66.46406555175781,,66.46406555175781,,24.458162307739258,,24.458162307739258,799
3,,65.62852478027344,,65.62852478027344,,23.82334327697754,,23.82334327697754,849
3,66.6403579711914,,,,23.969711303710938,,,,883
4,,68.30430603027344,,68.30430603027344,,22.93396759033203,,22.93396759033203,899
4,,67.32282257080078,,67.32282257080078,,22.764135360717773,,22.764135360717773,949
4,,69.26885986328125,,69.26885986328125,,22.109907150268555,,22.109907150268555,999
4,,66.4476547241211,,66.4476547241211,,22.320701599121094,,22.320701599121094,1049
4,,66.1612548828125,,66.1612548828125,,22.1944580078125,,22.1944580078125,1099
4,67.04328918457031,,,,22.480854034423828,,,,1104
5,,67.4404067993164,,67.4404067993164,,20.591772079467773,,20.591772079467773,1149
5,,66.61885833740234,,66.61885833740234,,21.76619529724121,,21.76619529724121,1199
5,,67.28704833984375,,67.28704833984375,,21.396045684814453,,21.396045684814453,1249
5,,67.54714965820312,,67.54714965820312,,21.152376174926758,,21.152376174926758,1299
5,67.02128601074219,,,,21.409778594970703,,,,1325
6,,68.59762573242188,,68.59762573242188,,19.858394622802734,,19.858394622802734,1349
6,,67.96321105957031,,67.96321105957031,,20.622108459472656,,20.622108459472656,1399
6,,68.38841247558594,,68.38841247558594,,20.59256362915039,,20.59256362915039,1449
6,,68.3676528930664,,68.3676528930664,,19.592866897583008,,19.592866897583008,1499
6,66.75404357910156,,,,20.517677307128906,,,,1546
7,,66.6350326538086,,66.6350326538086,,20.468713760375977,,20.468713760375977,1549
7,,67.16656494140625,,67.16656494140625,,19.894742965698242,,19.894742965698242,1599
7,,67.48344421386719,,67.48344421386719,,19.582929611206055,,19.582929611206055,1649
7,,67.44740295410156,,67.44740295410156,,19.291160583496094,,19.291160583496094,1699
7,,67.39688873291016,,67.39688873291016,,19.75220489501953,,19.75220489501953,1749
7,66.47380828857422,,,,19.795461654663086,,,,1767
8,,67.51557922363281,,67.51557922363281,,19.54412269592285,,19.54412269592285,1799
8,,66.84624481201172,,66.84624481201172,,18.94001579284668,,18.94001579284668,1849
8,,66.88800048828125,,66.88800048828125,,19.152019500732422,,19.152019500732422,1899
8,,65.21222686767578,,65.21222686767578,,19.860197067260742,,19.860197067260742,1949
8,66.32600402832031,,,,19.4105224609375,,,,1988
9,,66.63543701171875,,66.63543701171875,,19.407197952270508,,19.407197952270508,1999
9,,65.36668395996094,,65.36668395996094,,18.9390926361084,,18.9390926361084,2049
9,,66.04979705810547,,66.04979705810547,,18.98750114440918,,18.98750114440918,2099
9,,65.23016357421875,,65.23016357421875,,19.275619506835938,,19.275619506835938,2149
9,,64.8122787475586,,64.8122787475586,,18.602075576782227,,18.602075576782227,2199
9,66.16726684570312,,,,19.046342849731445,,,,2209
10,,65.68854522705078,,65.68854522705078,,19.1766357421875,,19.1766357421875,2249
10,,65.45152282714844,,65.45152282714844,,19.0926456451416,,19.0926456451416,2299
10,,66.50641632080078,,66.50641632080078,,18.491220474243164,,18.491220474243164,2349
10,,65.4972152709961,,65.4972152709961,,18.81519317626953,,18.81519317626953,2399
10,65.91757202148438,,,,18.7203426361084,,,,2430
11,,64.76387023925781,,64.76387023925781,,18.892208099365234,,18.892208099365234,2449
11,,67.19961547851562,,67.19961547851562,,18.271474838256836,,18.271474838256836,2499
11,,65.08818054199219,,65.08818054199219,,18.577552795410156,,18.577552795410156,2549
11,,67.6148681640625,,67.6148681640625,,18.278778076171875,,18.278778076171875,2599
11,,64.87309265136719,,64.87309265136719,,18.491907119750977,,18.491907119750977,2649
11,65.8101577758789,,,,18.454336166381836,,,,2651
12,,65.6882553100586,,65.6882553100586,,17.798444747924805,,17.798444747924805,2699
12,,64.55130004882812,,64.55130004882812,,17.997610092163086,,17.997610092163086,2749
12,,64.20323181152344,,64.20323181152344,,18.18644142150879,,18.18644142150879,2799
12,,64.70655059814453,,64.70655059814453,,18.177108764648438,,18.177108764648438,2849
12,65.54817962646484,,,,18.15318489074707,,,,2872
13,,65.47560119628906,,65.47560119628906,,18.131725311279297,,18.131725311279297,2899
13,,64.87437438964844,,64.87437438964844,,18.03514289855957,,18.03514289855957,2949
13,,64.584228515625,,64.584228515625,,17.95553207397461,,17.95553207397461,2999
13,,66.43934631347656,,66.43934631347656,,17.58156394958496,,17.58156394958496,3049
13,65.3930435180664,,,,17.86822509765625,,,,3093
14,,65.74698638916016,,65.74698638916016,,17.58115005493164,,17.58115005493164,3099
14,,65.5926513671875,,65.5926513671875,,17.502986907958984,,17.502986907958984,3149
14,,64.96755981445312,,64.96755981445312,,17.489627838134766,,17.489627838134766,3199
14,,62.99657440185547,,62.99657440185547,,17.60391616821289,,17.60391616821289,3249
14,,65.96920013427734,,65.96920013427734,,18.1690673828125,,18.1690673828125,3299
14,65.31993103027344,,,,17.715242385864258,,,,3314
15,,,64.00243377685547,,,,18.069499969482422,,3315
