epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,val_acc,val_loss
0,,66.98551822401318,66.98551822401318,49,,
0,,55.04884721163016,55.04884721163016,99,,
0,,24.758876745132937,24.758876745132937,149,,
0,,14.523849960830399,14.523849960830399,199,,
0,,12.840099809924018,12.840099809924018,249,,
0,,12.311222577177263,12.311222577177263,299,,
0,,12.727345766605444,12.727345766605444,349,,
0,,12.947431227925543,12.947431227925543,399,,
0,,11.905888683308602,11.905888683308602,449,,
0,,,,477,10.97364330291748,9.696461455622833
0,27.3000717917329,,,477,,
1,,11.996524677475504,11.996524677475504,499,,
1,,11.950878899157177,11.950878899157177,549,,
1,,11.893952077314252,11.893952077314252,599,,
