epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,val_acc,val_loss
0,,26.641805263373403,26.641805263373403,49,,
0,,23.042628550686725,23.042628550686725,99,,
0,,16.507039855806774,16.507039855806774,149,,
0,,16.23934935385053,16.23934935385053,199,,
0,,15.068464114510732,15.068464114510732,249,,
0,,15.105465295901158,15.105465295901158,299,,
0,,14.607455232397424,14.607455232397424,349,,
0,,13.383200660823602,13.383200660823602,399,,
0,,12.926035368003275,12.926035368003275,449,,
0,,,,477,14.103876113891602,11.23122918576506
0,18.593403745880213,,,477,,
1,,11.850227769218462,11.850227769218462,499,,
1,,13.083018049276362,13.083018049276362,549,,
1,,12.24382832021204,12.24382832021204,599,,
1,,12.40493998323263,12.40493998323263,649,,
1,,12.415101429457069,12.415101429457069,699,,
1,,13.153801060723591,13.153801060723591,749,,
1,,11.627152390205847,11.627152390205847,799,,
1,,11.203449102485994,11.203449102485994,849,,
1,,10.963502083188079,10.963502083188079,899,,
1,,11.005255193652113,11.005255193652113,949,,
1,,,,955,14.241860389709473,10.191321741115631
1,12.055441583989674,,,955,,
2,,10.949413452613319,10.949413452613319,999,,
2,,11.492173149409249,11.492173149409249,1049,,
2,,11.495284020673333,11.495284020673333,1099,,
2,,10.091845333587823,10.091845333587823,1149,,
2,,11.637549923810617,11.637549923810617,1199,,
2,,11.287659552001132,11.287659552001132,1249,,
2,,10.548832658938297,10.548832658938297,1299,,
2,,12.147023171534103,12.147023171534103,1349,,
2,,11.636120211576083,11.636120211576083,1399,,
2,,,,1433,14.390697479248047,9.817655261944445
2,11.27513255059125,,,1433,,
3,,10.994555678114518,10.994555678114518,1449,,
3,,10.962184923565726,10.962184923565726,1499,,
3,,10.517383728454691,10.517383728454691,1549,,
3,,10.076269999421177,10.076269999421177,1599,,
3,,10.544877660118573,10.544877660118573,1649,,
3,,10.545655775793133,10.545655775793133,1699,,
3,,11.47628037675254,11.47628037675254,1749,,
3,,11.65686303103545,11.65686303103545,1799,,
3,,10.695531199839708,10.695531199839708,1849,,
3,,11.16242918771919,11.16242918771919,1899,,
3,,,,1911,14.413954734802246,9.669999044465973
3,11.003783743131422,,,1911,,
