L1_epoch_epoch,L1_epoch_step,L1_loss,L1_step,epoch,step
,23.91781234741211,,23.91781234741211,0,49
,21.79475212097168,,21.79475212097168,0,99
,21.31949234008789,,21.31949234008789,0,149
,22.0319766998291,,22.0319766998291,0,199
,21.02082061767578,,21.02082061767578,0,249
,20.873746871948242,,20.873746871948242,0,299
,21.35342025756836,,21.35342025756836,0,349
,19.999624252319336,,19.999624252319336,0,399
23.479969024658203,,,,0,440
,19.860897064208984,,19.860897064208984,1,449
,20.494794845581055,,20.494794845581055,1,499
,21.091293334960938,,21.091293334960938,1,549
,20.256595611572266,,20.256595611572266,1,599
,20.5726318359375,,20.5726318359375,1,649
,20.28525733947754,,20.28525733947754,1,699
,20.525421142578125,,20.525421142578125,1,749
,19.405372619628906,,19.405372619628906,1,799
,18.993860244750977,,18.993860244750977,1,849
20.583953857421875,,,,1,881
,19.92906379699707,,19.92906379699707,2,899
,20.36415672302246,,20.36415672302246,2,949
,19.68024444580078,,19.68024444580078,2,999
,20.783916473388672,,20.783916473388672,2,1049
,20.53279685974121,,20.53279685974121,2,1099
,20.528711318969727,,20.528711318969727,2,1149
,20.189979553222656,,20.189979553222656,2,1199
,19.610212326049805,,19.610212326049805,2,1249
,19.511093139648438,,19.511093139648438,2,1299
20.41694450378418,,,,2,1322
,21.750247955322266,,21.750247955322266,3,1349
,19.710617065429688,,19.710617065429688,3,1399
,19.659631729125977,,19.659631729125977,3,1449
,20.004188537597656,,20.004188537597656,3,1499
,20.249828338623047,,20.249828338623047,3,1549
,24.97808837890625,,24.97808837890625,3,1599
,19.50434684753418,,19.50434684753418,3,1649
,20.138769149780273,,20.138769149780273,3,1699
,21.22553062438965,,21.22553062438965,3,1749
20.240964889526367,,,,3,1763
,20.756431579589844,,20.756431579589844,4,1799
,20.58084487915039,,20.58084487915039,4,1849
,21.137737274169922,,21.137737274169922,4,1899
,20.47681427001953,,20.47681427001953,4,1949
,19.715068817138672,,19.715068817138672,4,1999
,19.352724075317383,,19.352724075317383,4,2049
,19.557165145874023,,19.557165145874023,4,2099
,19.242616653442383,,19.242616653442383,4,2149
