acc_epoch_epoch,acc_epoch_step,acc_step,epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,top1_acc,top2_acc
,89.84375,89.84375,0,,0.35102683305740356,0.35102683305740356,49,,
,86.71875,86.71875,0,,0.35789212584495544,0.35789212584495544,99,,
,91.015625,91.015625,0,,0.25711673498153687,0.25711673498153687,149,,
,91.015625,91.015625,0,,0.27959802746772766,0.27959802746772766,199,,
,85.15625,85.15625,0,,0.33299675583839417,0.33299675583839417,249,,
,87.890625,87.890625,0,,0.27731963992118835,0.27731963992118835,299,,
,91.015625,91.015625,0,,0.28549376130104065,0.28549376130104065,349,,
,90.234375,90.234375,0,,0.2648775577545166,0.2648775577545166,399,,
88.98138427734375,,,0,0.30179885029792786,,,440,,
,87.109375,87.109375,1,,0.2967497408390045,0.2967497408390045,449,,
,85.15625,85.15625,1,,0.33711081743240356,0.33711081743240356,499,,
,87.109375,87.109375,1,,0.3998394310474396,0.3998394310474396,549,,
,89.0625,89.0625,1,,0.28621163964271545,0.28621163964271545,599,,
,91.015625,91.015625,1,,0.32952895760536194,0.32952895760536194,649,,
,90.625,90.625,1,,0.3556770384311676,0.3556770384311676,699,,
,90.234375,90.234375,1,,0.22555655241012573,0.22555655241012573,749,,
,87.109375,87.109375,1,,0.39222854375839233,0.39222854375839233,799,,
,88.28125,88.28125,1,,0.3278748691082001,0.3278748691082001,849,,
89.06117248535156,,,1,0.298069030046463,,,881,,
,89.84375,89.84375,2,,0.21924282610416412,0.21924282610416412,899,,
,91.796875,91.796875,2,,0.22792808711528778,0.22792808711528778,949,,
,85.546875,85.546875,2,,0.3690616190433502,0.3690616190433502,999,,
,89.84375,89.84375,2,,0.2941243350505829,0.2941243350505829,1049,,
,92.578125,92.578125,2,,0.21917399764060974,0.21917399764060974,1099,,
,91.40625,91.40625,2,,0.24516934156417847,0.24516934156417847,1149,,
,88.28125,88.28125,2,,0.29402458667755127,0.29402458667755127,1199,,
,89.0625,89.0625,2,,0.3431665301322937,0.3431665301322937,1249,,
,88.671875,88.671875,2,,0.3078097105026245,0.3078097105026245,1299,,
89.07269287109375,,,2,0.29680952429771423,,,1322,,
,89.453125,89.453125,3,,0.24253661930561066,0.24253661930561066,1349,,
,89.84375,89.84375,3,,0.28998297452926636,0.28998297452926636,1399,,
,90.625,90.625,3,,0.21075284481048584,0.21075284481048584,1449,,
,86.328125,86.328125,3,,0.3082384467124939,0.3082384467124939,1499,,
,89.84375,89.84375,3,,0.2939039468765259,0.2939039468765259,1549,,
,89.0625,89.0625,3,,0.317751407623291,0.317751407623291,1599,,
,90.234375,90.234375,3,,0.2564791440963745,0.2564791440963745,1649,,
,87.5,87.5,3,,0.30403950810432434,0.30403950810432434,1699,,
,88.671875,88.671875,3,,0.2966547906398773,0.2966547906398773,1749,,
89.04077911376953,,,3,0.2970532178878784,,,1763,,
,86.71875,86.71875,4,,0.3016650378704071,0.3016650378704071,1799,,
,90.234375,90.234375,4,,0.2836567759513855,0.2836567759513855,1849,,
,88.671875,88.671875,4,,0.31794190406799316,0.31794190406799316,1899,,
,92.1875,92.1875,4,,0.28857582807540894,0.28857582807540894,1949,,
,89.453125,89.453125,4,,0.29501107335090637,0.29501107335090637,1999,,
,90.234375,90.234375,4,,0.3618451654911041,0.3618451654911041,2049,,
,86.328125,86.328125,4,,0.306378036737442,0.306378036737442,2099,,
,90.234375,90.234375,4,,0.2840595245361328,0.2840595245361328,2149,,
,87.5,87.5,4,,0.4199133813381195,0.4199133813381195,2199,,
89.21542358398438,,,4,0.29478102922439575,,,2204,,
,88.28125,88.28125,5,,0.27215227484703064,0.27215227484703064,2249,,
,89.0625,89.0625,5,,0.3136674761772156,0.3136674761772156,2299,,
,87.890625,87.890625,5,,0.31809505820274353,0.31809505820274353,2349,,
,91.015625,91.015625,5,,0.36101487278938293,0.36101487278938293,2399,,
,83.984375,83.984375,5,,0.3170017600059509,0.3170017600059509,2449,,
,90.625,90.625,5,,0.42516764998435974,0.42516764998435974,2499,,
,91.796875,91.796875,5,,0.24187223613262177,0.24187223613262177,2549,,
,89.0625,89.0625,5,,0.34744927287101746,0.34744927287101746,2599,,
89.15071105957031,,,5,0.2936445474624634,,,2645,,
,90.234375,90.234375,6,,0.2410421222448349,0.2410421222448349,2649,,
,87.109375,87.109375,6,,0.4090898931026459,0.4090898931026459,2699,,
,89.453125,89.453125,6,,0.4211774170398712,0.4211774170398712,2749,,
,86.71875,86.71875,6,,0.3564792573451996,0.3564792573451996,2799,,
,89.0625,89.0625,6,,0.25048765540122986,0.25048765540122986,2849,,
,90.234375,90.234375,6,,0.26642853021621704,0.26642853021621704,2899,,
,86.328125,86.328125,6,,0.31960973143577576,0.31960973143577576,2949,,
,85.9375,85.9375,6,,0.3737257122993469,0.3737257122993469,2999,,
,91.40625,91.40625,6,,0.24244555830955505,0.24244555830955505,3049,,
89.28279876708984,,,6,0.2923872172832489,,,3086,,
,88.671875,88.671875,7,,0.2514432966709137,0.2514432966709137,3099,,
,86.71875,86.71875,7,,0.2882968485355377,0.2882968485355377,3149,,
,89.453125,89.453125,7,,0.3161067068576813,0.3161067068576813,3199,,
,89.453125,89.453125,7,,0.30475977063179016,0.30475977063179016,3249,,
,89.453125,89.453125,7,,0.31104227900505066,0.31104227900505066,3299,,
,89.84375,89.84375,7,,0.2868843376636505,0.2868843376636505,3349,,
,88.28125,88.28125,7,,0.29109814763069153,0.29109814763069153,3399,,
,91.40625,91.40625,7,,0.26151883602142334,0.26151883602142334,3449,,
,90.625,90.625,7,,0.2784792184829712,0.2784792184829712,3499,,
89.2127685546875,,,7,0.29123440384864807,,,3527,,
,91.015625,91.015625,8,,0.2231946736574173,0.2231946736574173,3549,,
