epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,val_acc,val_loss
0,,0.13706808392826078,0.13706808392826078,49,,
0,,0.11276122124575129,0.11276122124575129,99,,
0,,0.101351961434935,0.101351961434935,149,,
0,,0.08966658182555175,0.08966658182555175,199,,
0,,0.07452027457064835,0.07452027457064835,249,,
0,,0.08119556213804714,0.08119556213804714,299,,
0,,,,318,16.984495162963867,0.06140412506117581
0,0.10724634308127538,,,318,,
1,,0.07627417472884272,0.07627417472884272,349,,
1,,0.07197411192048196,0.07197411192048196,399,,
1,,0.0726793239970106,0.0726793239970106,449,,
1,,0.07279070934963108,0.07279070934963108,499,,
1,,0.06939743379510055,0.06939743379510055,549,,
1,,0.07159325268965618,0.07159325268965618,599,,
1,,,,637,19.210853576660156,0.05678510398831932
1,0.07278295423479404,,,637,,
2,,0.07136021884600623,0.07136021884600623,649,,
2,,0.0701947488754356,0.0701947488754356,699,,
2,,0.06798906386778003,0.06798906386778003,749,,
2,,0.06731349251106594,0.06731349251106594,799,,
2,,0.06776010743112619,0.06776010743112619,849,,
2,,0.07037642769056783,0.07037642769056783,899,,
2,,0.06492368973461264,0.06492368973461264,949,,
2,,,,956,20.049612045288086,0.05485673623071548
2,0.06886122228278017,,,956,,
3,,0.0660797391196538,0.0660797391196538,999,,
3,,0.06837382394809836,0.06837382394809836,1049,,
