epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,val_acc,val_loss
0,,21.431103826373228,21.431103826373228,49,,
0,,13.079892603582161,13.079892603582161,99,,
0,,10.10274777783593,10.10274777783593,149,,
0,,8.443012172740675,8.443012172740675,199,,
0,,8.113365528733642,8.113365528733642,249,,
0,,8.37597847074104,8.37597847074104,299,,
0,,7.673328753587382,7.673328753587382,349,,
0,,7.179273713302872,7.179273713302872,399,,
0,,6.923115533394106,6.923115533394106,449,,
0,,,,477,17.2744197845459,5.829874416110669
0,13.360898275653105,,,477,,
1,,7.113986786956998,7.113986786956998,499,,
1,,7.584155436168838,7.584155436168838,549,,
1,,7.524154695877527,7.524154695877527,599,,
