acc_epoch_epoch,acc_epoch_step,acc_step,epoch,loss_epoch_epoch,loss_epoch_step,loss_step,step,top1_acc,top2_acc,val_acc,val_loss
,52.34375,52.34375,0,,1.5999038219451904,1.5999038219451904,49,,,,
,72.265625,72.265625,0,,0.9071958065032959,0.9071958065032959,99,,,,
,82.03125,82.03125,0,,0.5368561744689941,0.5368561744689941,149,,,,
,78.125,78.125,0,,0.6292461156845093,0.6292461156845093,199,,,,
,81.25,81.25,0,,0.5241329669952393,0.5241329669952393,249,,,,
,80.46875,80.46875,0,,0.5917043685913086,0.5917043685913086,299,,,,
,83.203125,83.203125,0,,0.5363208651542664,0.5363208651542664,349,,,,
,85.546875,85.546875,0,,0.5345321297645569,0.5345321297645569,399,,,,
,,,0,,,,440,,,82.8351058959961,0.5246156454086304
72.42552947998047,,,0,0.9245079159736633,,,440,,,,
,83.59375,83.59375,1,,0.4679679870605469,0.4679679870605469,449,,,,
,85.546875,85.546875,1,,0.4242857098579407,0.4242857098579407,499,,,,
,82.8125,82.8125,1,,0.586162805557251,0.586162805557251,549,,,,
,85.15625,85.15625,1,,0.43382859230041504,0.43382859230041504,599,,,,
,84.375,84.375,1,,0.41695788502693176,0.41695788502693176,649,,,,
,87.5,87.5,1,,0.4204038083553314,0.4204038083553314,699,,,,
,82.421875,82.421875,1,,0.49137333035469055,0.49137333035469055,749,,,,
,82.03125,82.03125,1,,0.4960766136646271,0.4960766136646271,799,,,,
,87.5,87.5,1,,0.41237783432006836,0.41237783432006836,849,,,,
,,,1,,,,881,,,84.57447052001953,0.4554702043533325
84.39893341064453,,,1,0.45954465866088867,,,881,,,,
,88.28125,88.28125,2,,0.3548744022846222,0.3548744022846222,899,,,,
,86.328125,86.328125,2,,0.4757189154624939,0.4757189154624939,949,,,,
,82.03125,82.03125,2,,0.5132927894592285,0.5132927894592285,999,,,,
,88.671875,88.671875,2,,0.3888160288333893,0.3888160288333893,1049,,,,
,84.375,84.375,2,,0.430833101272583,0.430833101272583,1099,,,,
