L1.0_epoch_epoch,L1.0_epoch_step,L1.0_loss,L1.0_step,epoch,step
,74.70790100097656,,74.70790100097656,0,49
,53.782135009765625,,53.782135009765625,0,99
,46.863651275634766,,46.863651275634766,0,149
,48.45396423339844,,48.45396423339844,0,199
,38.6700553894043,,38.6700553894043,0,249
,42.05675506591797,,42.05675506591797,0,299
,35.74242401123047,,35.74242401123047,0,349
,37.76622009277344,,37.76622009277344,0,399
54.52440643310547,,,,0,440
,40.976409912109375,,40.976409912109375,1,449
,32.163578033447266,,32.163578033447266,1,499
,30.390670776367188,,30.390670776367188,1,549
,31.575321197509766,,31.575321197509766,1,599
,28.97955322265625,,28.97955322265625,1,649
,39.46754837036133,,39.46754837036133,1,699
,42.59990310668945,,42.59990310668945,1,749
,30.20468521118164,,30.20468521118164,1,799
,27.230037689208984,,27.230037689208984,1,849
32.68688201904297,,,,1,881
,27.07421112060547,,27.07421112060547,2,899
,27.857669830322266,,27.857669830322266,2,949
,27.091480255126953,,27.091480255126953,2,999
,27.718521118164062,,27.718521118164062,2,1049
,39.60449981689453,,39.60449981689453,2,1099
,26.399837493896484,,26.399837493896484,2,1149
,27.786685943603516,,27.786685943603516,2,1199
,27.248003005981445,,27.248003005981445,2,1249
,25.457656860351562,,25.457656860351562,2,1299
28.303333282470703,,,,2,1322
,30.99102020263672,,30.99102020263672,3,1349
,28.451213836669922,,28.451213836669922,3,1399
,25.575340270996094,,25.575340270996094,3,1449
,61.81280517578125,,61.81280517578125,3,1499
,33.558197021484375,,33.558197021484375,3,1549
,24.935325622558594,,24.935325622558594,3,1599
,25.609270095825195,,25.609270095825195,3,1649
,25.824111938476562,,25.824111938476562,3,1699
,26.307491302490234,,26.307491302490234,3,1749
31.292469024658203,,,,3,1763
,28.28170394897461,,28.28170394897461,4,1799
,24.89076042175293,,24.89076042175293,4,1849
,26.687822341918945,,26.687822341918945,4,1899
,24.90017318725586,,24.90017318725586,4,1949
,23.732563018798828,,23.732563018798828,4,1999
,26.339256286621094,,26.339256286621094,4,2049
,23.41341781616211,,23.41341781616211,4,2099
,26.09841537475586,,26.09841537475586,4,2149
,25.46717071533203,,25.46717071533203,4,2199
25.408180236816406,,,,4,2204
,28.48110580444336,,28.48110580444336,5,2249
,23.485671997070312,,23.485671997070312,5,2299
,28.262983322143555,,28.262983322143555,5,2349
,24.132587432861328,,24.132587432861328,5,2399
,26.618473052978516,,26.618473052978516,5,2449
,23.652881622314453,,23.652881622314453,5,2499
,23.651704788208008,,23.651704788208008,5,2549
,23.052095413208008,,23.052095413208008,5,2599
24.695356369018555,,,,5,2645
,23.76776885986328,,23.76776885986328,6,2649
,23.079654693603516,,23.079654693603516,6,2699
,22.90363311767578,,22.90363311767578,6,2749
,24.3695125579834,,24.3695125579834,6,2799
,24.281841278076172,,24.281841278076172,6,2849
,22.76344108581543,,22.76344108581543,6,2899
,23.981761932373047,,23.981761932373047,6,2949
,23.18933868408203,,23.18933868408203,6,2999
,24.872243881225586,,24.872243881225586,6,3049
23.958127975463867,,,,6,3086
,28.059125900268555,,28.059125900268555,7,3099
,22.80316925048828,,22.80316925048828,7,3149
,25.87053108215332,,25.87053108215332,7,3199
,23.574926376342773,,23.574926376342773,7,3249
,24.336917877197266,,24.336917877197266,7,3299
,23.11060333251953,,23.11060333251953,7,3349
,25.67246437072754,,25.67246437072754,7,3399
,22.958065032958984,,22.958065032958984,7,3449
,26.933429718017578,,26.933429718017578,7,3499
23.84486961364746,,,,7,3527
,22.092416763305664,,22.092416763305664,8,3549
,22.087501525878906,,22.087501525878906,8,3599
,26.817041397094727,,26.817041397094727,8,3649
,20.915929794311523,,20.915929794311523,8,3699
,23.134098052978516,,23.134098052978516,8,3749
,25.49187660217285,,25.49187660217285,8,3799
,22.948421478271484,,22.948421478271484,8,3849
,21.75711441040039,,21.75711441040039,8,3899
,22.344776153564453,,22.344776153564453,8,3949
22.876724243164062,,,,8,3968
,23.93014144897461,,23.93014144897461,9,3999
,22.206153869628906,,22.206153869628906,9,4049
,21.722087860107422,,21.722087860107422,9,4099
,22.33266830444336,,22.33266830444336,9,4149
,25.576675415039062,,25.576675415039062,9,4199
,21.136505126953125,,21.136505126953125,9,4249
,23.59557342529297,,23.59557342529297,9,4299
,21.169574737548828,,21.169574737548828,9,4349
,21.408761978149414,,21.408761978149414,9,4399
22.74000358581543,,,,9,4409
,20.020660400390625,,20.020660400390625,10,4449
,20.930463790893555,,20.930463790893555,10,4499
,21.842254638671875,,21.842254638671875,10,4549
,21.46261215209961,,21.46261215209961,10,4599
,21.6216983795166,,21.6216983795166,10,4649
,21.731998443603516,,21.731998443603516,10,4699
,20.79336166381836,,20.79336166381836,10,4749
,21.383625030517578,,21.383625030517578,10,4799
,20.75075340270996,,20.75075340270996,10,4849
21.075780868530273,,,,10,4850
,21.71436882019043,,21.71436882019043,11,4899
,20.345947265625,,20.345947265625,11,4949
,21.853580474853516,,21.853580474853516,11,4999
,20.8511905670166,,20.8511905670166,11,5049
,21.3992862701416,,21.3992862701416,11,5099
,21.02301597595215,,21.02301597595215,11,5149
,22.226314544677734,,22.226314544677734,11,5199
